ID_Dia,Recuperados
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,5
18,1
19,2
20,0
21,3
22,6
23,5
24,11
25,10
26,18
27,14
28,81
29,0
30,78
31,101
32,92
33,101
34,0
35,200
36,170
37,217
38,159
39,297
40,293
41,195
42,308
43,279
44,291
45,362
46,322
47,414
48,303
49,138
50,493
51,417
52,418
53,523
54,419
55,278
56,303
57,383
58,347
59,523
60,438
61,554
62,469
63,374
64,295
65,479
66,475
67,496
68,507
69,445
70,493
71,520
72,740
73,790
74,790
75,959
